
                     X       _temp_1
           1.02000E-01   2.11044E+05
           1.03001E-01   2.25623E+05
           1.04001E-01   2.40929E+05
           1.05000E-01   2.56880E+05
           1.06001E-01   2.73495E+05
           1.07000E-01   2.90660E+05
           1.08001E-01   3.08409E+05
           1.09001E-01   3.26714E+05
           1.10000E-01   3.45502E+05
           1.11001E-01   3.64808E+05
           1.12000E-01   3.84622E+05
           1.13001E-01   4.04985E+05
           1.14001E-01   4.25781E+05
           1.15000E-01   4.46974E+05
           1.16001E-01   4.68637E+05
           1.17000E-01   4.90674E+05
           1.18001E-01   5.13167E+05
           1.19001E-01   5.36091E+05
           1.20000E-01   5.59364E+05
           1.21001E-01   5.83053E+05
           1.22000E-01   6.07120E+05
           1.23001E-01   6.31607E+05
           1.24001E-01   6.56471E+05
           1.25000E-01   6.81661E+05
           1.26001E-01   7.07192E+05
           1.27000E-01   7.32896E+05
           1.28001E-01   7.58763E+05
           1.29001E-01   7.84686E+05
           1.30000E-01   8.10558E+05
           1.31001E-01   8.36388E+05
           1.32000E-01   8.62009E+05
           1.33001E-01   8.87398E+05
           1.34001E-01   9.12493E+05
           1.35000E-01   9.37176E+05
           1.36001E-01   9.61319E+05
           1.37000E-01   9.84883E+05
           1.38001E-01   1.00815E+06
           1.39001E-01   1.03099E+06
           1.40000E-01   1.05281E+06
           1.41001E-01   1.07310E+06
           1.42000E-01   1.09136E+06
           1.43001E-01   1.10779E+06
           1.44001E-01   1.12250E+06
           1.45000E-01   1.13567E+06
           1.46001E-01   1.14734E+06
           1.47000E-01   1.15741E+06
           1.48001E-01   1.16575E+06
           1.49001E-01   1.17240E+06
           1.50000E-01   1.17731E+06
           1.51001E-01   1.18055E+06
           1.52000E-01   1.18233E+06
           1.53001E-01   1.18277E+06
           1.54001E-01   1.18206E+06
           1.55000E-01   1.18061E+06
           1.56001E-01   1.17851E+06
           1.57000E-01   1.17586E+06
           1.58001E-01   1.17303E+06
           1.59001E-01   1.17031E+06
           1.60000E-01   1.16796E+06
           1.61001E-01   1.16618E+06
           1.62000E-01   1.16479E+06
           1.63001E-01   1.16371E+06
           1.64001E-01   1.16306E+06
           1.65000E-01   1.16258E+06
           1.66001E-01   1.16228E+06
           1.67000E-01   1.16211E+06
           1.68001E-01   1.16189E+06
           1.69001E-01   1.16178E+06
           1.70000E-01   1.16182E+06
           1.71001E-01   1.16181E+06
           1.72000E-01   1.16202E+06
           1.73001E-01   1.16272E+06
           1.74001E-01   1.16378E+06
           1.75000E-01   1.16509E+06
           1.76001E-01   1.16649E+06
           1.77000E-01   1.16779E+06
           1.78001E-01   1.16879E+06
           1.79001E-01   1.16948E+06
           1.80000E-01   1.16959E+06
           1.81001E-01   1.16927E+06
           1.82000E-01   1.16862E+06
           1.83001E-01   1.16756E+06
           1.84001E-01   1.16613E+06
           1.85000E-01   1.16468E+06
           1.86001E-01   1.16334E+06
           1.87000E-01   1.16225E+06
           1.88001E-01   1.16160E+06
           1.89001E-01   1.16136E+06
           1.90000E-01   1.16136E+06
           1.91001E-01   1.16168E+06
           1.92000E-01   1.16228E+06
           1.93001E-01   1.16292E+06
           1.94001E-01   1.16343E+06
           1.95000E-01   1.16370E+06
           1.96001E-01   1.16368E+06
           1.97000E-01   1.16330E+06
           1.98001E-01   1.16270E+06
           1.99001E-01   1.16220E+06
           2.00000E-01   1.16173E+06




